Time,Day,Day,Day,Day,Day,Day,Night,Night,Night,Night,Night,Night,Average UCYN-A Day,Average Whole Culture Day,Average UCYN-A Night,Average Whole Culture Night,logFC_Day,logFC_Night,Pvalue_Day,Pvalue_Night,Significant_Day,Significant_Night,Sequence source
BDA39676.1,13727.29297,41391.4375,18315.86133,NaN,NaN,NaN,14355.4248,11537.13086,15471.76855,2742.008545,NaN,NaN,683.4423828,NaN,13788.10807,2742.008545,17.49919141,4.167194788,7.60234E-08,0.153827956,UCYN-A,Not significant,UCYN-A genome
BDA39677.1,683.4423828,NaN,NaN,NaN,NaN,NaN,NaN,226.5027313,178.1055908,NaN,NaN,NaN,225681.5052,NaN,202.3041611,NaN,11.16264922,10.30143304,0.140595145,0.009806471,Not significant,UCYN-A,UCYN-A genome
BDA39678.1,132024.4219,267009.7188,278010.375,17874.75391,14932.04492,4351.638184,16597.69531,26069.0957,28440.6875,1496.369873,NaN,7217.795898,53849.8698,12386.14567,23702.49284,4357.082886,4.010546918,3.25713214,0.008328156,0.143560665,UCYN-A,Not significant,UCYN-A genome
BDA39679.1,124964.1797,22822.59766,13762.83203,NaN,NaN,NaN,23660.18555,20844.67773,23948.80078,18073.04492,NaN,10586.37012,52832,NaN,22817.88802,14329.70752,18.94071827,1.478007392,2.48121E-09,0.483236732,UCYN-A,Not significant,UCYN-A genome
BDA39680.1,29227.14844,60896.40625,68372.44531,18575.37305,3.840705633,3.166870832,89060.60938,81826.33594,63709.07813,1412.0354,NaN,NaN,NaN,6194.126875,78198.67448,1412.0354,3.018407432,7.585685134,0.175239364,0.008600748,Not significant,UCYN-A,UCYN-A genome
BDA39681.1,NaN,NaN,NaN,329365.7813,337838.7188,294292.7188,NaN,NaN,NaN,190896.3906,266075.375,232755.6563,58606.35547,320499.073,NaN,229909.1406,-21.39085184,-20.70450461,3.5552E-13,1.16524E-12,Whole culture,Whole culture,UCYN-A genome
BDA39684.1,33280.01172,72038.54688,70500.50781,12618.84766,58698.09766,3856.942139,48823.59766,37216.10938,40071.90625,12261.53027,9660.769531,18943.87305,338179.7136,25057.96249,42037.20443,13622.05762,0.994151993,1.842478768,0.499567239,0.198014316,Not significant,Not significant,UCYN-A genome
BDA39685.1,141886.6719,432714.625,439937.8438,175357.9219,159331.9688,141437.6563,119899.6563,98573.9375,113779.1406,93372.69531,105739.375,96709.51563,737387.0625,158709.1823,110750.9115,98607.19531,0.843785643,0.414439823,0.517822174,0.748672441,Not significant,Not significant,UCYN-A genome
BDA39686.1,500969.375,892995.5,818196.3125,883959.1875,567325.125,630967.5625,1664562.5,2052006.375,1614314.25,1472871.375,1719247.375,1576493.25,489649.6458,694083.9583,1776961.042,1589537.333,-0.088411603,0.399677606,0.944578368,0.753345068,Not significant,Not significant,UCYN-A genome
BDA39690.1,373083.1875,397241.6875,698624.0625,114197.6719,130854.1484,69951.33594,295502.2188,223636.4063,193720.4063,45264.77344,34036.30859,40408.36328,119947.6133,105001.0521,237619.6771,39903.14844,2.027201513,2.780916668,0.1293946,0.044370084,Not significant,UCYN-A,UCYN-A genome
BDA39691.1,41847.01172,148513.1719,169482.6563,NaN,NaN,NaN,66075.17188,72153.49219,58471.3125,81.93578339,NaN,NaN,13406.7028,NaN,65566.65886,81.93578339,19.69711911,11.44774387,3.975E-11,0.000105857,UCYN-A,UCYN-A,UCYN-A genome
BDA39692.1,27924.45508,6505.778809,5789.874512,NaN,6.437366486,11602.91016,15906.51172,20056.88086,14739.4541,17186.85938,4906.76709,5911.362305,303089.1823,5804.673763,16900.94889,9334.996258,1.757201015,1.083388449,0.481601972,0.478769477,Not significant,Not significant,UCYN-A genome
BDA39693.1,174875.7344,364507.75,369884.0625,60622.19531,54207.88281,59391.12109,41134,51353.17578,60377.10938,38012.9375,38987.65234,26598.41211,6736.303223,58073.73307,50954.76172,34533.00065,2.163597035,0.845301626,0.111412476,0.528384972,Not significant,Not significant,UCYN-A genome
BDA39694.1,7087.214844,6522.80127,6598.893555,NaN,NaN,NaN,10944.49609,9418.700195,10539.81641,5105.616699,6554.87793,3855.157715,61.79958344,NaN,10301.00423,5171.884115,15.69976223,1.2510098,2.58656E-06,0.449667466,UCYN-A,Not significant,UCYN-A genome
BDA39697.1,61.79958344,NaN,NaN,NaN,NaN,NaN,6800.708984,4796.580078,2070.244141,NaN,11152.05371,NaN,2288555.708,NaN,4555.844401,11152.05371,7.70119349,0.519093665,0.207964177,0.853827345,Not significant,Not significant,UCYN-A genome
BDA39698.1,1999221.125,2126779.5,2739666.5,120483.6953,33660.29297,36917.35938,2456247.75,2906529,2394287.75,515216.875,386128.0938,454706.9063,116.1016159,63687.11588,2585688.167,452017.2917,5.065410994,2.750421782,0.00076408,0.044215391,UCYN-A,UCYN-A,UCYN-A genome
BDA39700.1,116.1016159,NaN,NaN,NaN,NaN,NaN,167.7803955,127.2970047,129.511322,NaN,NaN,NaN,1471112.25,NaN,141.5295741,NaN,8.608001026,10.26974414,0.193692974,0.000621047,Not significant,UCYN-A,UCYN-A genome
BDA39703.1,1087957.125,1561053.25,1764326.375,83382.5,33375.66406,75119.71875,1339064.25,1414034.25,1153475.5,204165.3125,231933.4531,170585.6094,3518.727946,63959.29427,1302191.333,202228.125,4.345482123,2.923391059,0.00310791,0.032355418,UCYN-A,UCYN-A,UCYN-A genome
BDA39704.1,3874.587646,3288.467041,3393.12915,NaN,NaN,NaN,5439.165527,4406.133301,4029.87793,3197.149414,NaN,NaN,1855.894165,NaN,4625.058919,3197.149414,14.77201521,2.332712685,9.51226E-05,0.414922433,UCYN-A,Not significant,UCYN-A genome
BDA39706.1,1855.894165,NaN,NaN,NaN,NaN,NaN,2842.782227,2975.236816,4270.456055,NaN,NaN,NaN,27152.39876,NaN,3362.825033,NaN,12.60350813,14.89778198,0.09084057,9.90823E-06,Not significant,UCYN-A,UCYN-A genome
BDA39707.1,8573.254883,33921.57422,38962.36719,NaN,NaN,NaN,20890.85547,44066.92578,42018.83984,NaN,NaN,NaN,3163227.667,NaN,35658.8737,NaN,17.5459003,18.30475238,8.12558E-08,3.51589E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39708.1,1460928.75,4018691.5,4010062.75,72197.66406,78085.38281,75411.5,1874684.625,2839021.25,2045696.625,106338.9688,158746.125,153310.7031,11525.49821,75231.51562,2253134.167,139465.2656,5.144753078,4.256848392,0.00054908,0.003495928,UCYN-A,UCYN-A,UCYN-A genome
BDA39711.1,6463.806152,11066.11035,17046.57813,NaN,NaN,NaN,4083.1604,7419.268555,4325.0625,NaN,NaN,NaN,9911.045654,NaN,5275.830485,NaN,16.3495195,15.49587056,7.02099E-07,4.45466E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39713.1,4613.353027,NaN,15208.73828,NaN,NaN,NaN,14667.19824,10316.41406,11483.42285,NaN,NaN,NaN,5733.691569,NaN,12155.67838,NaN,15.49771668,16.69571962,0.000709513,6.90517E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39716.1,8069.318359,6676.41748,2455.338867,NaN,NaN,NaN,24645.9375,27109.55078,25513.6875,13288.48047,NaN,NaN,5105.152913,NaN,25756.39193,13288.48047,15.56581223,2.779691622,5.97645E-06,0.301630939,UCYN-A,Not significant,UCYN-A genome
BDA39718.1,7915.003906,5127.828125,2272.626709,NaN,NaN,NaN,13873.34668,12603.61719,11527.91309,2152.476563,NaN,NaN,8681.137208,NaN,12668.29232,2152.476563,15.41847721,4.365609689,9.10253E-06,0.138089553,UCYN-A,Not significant,UCYN-A genome
BDA39723.1,4303.716309,13960.58008,7779.115234,12182.04785,NaN,NaN,4848.855957,5260.854492,5042.852051,NaN,NaN,NaN,1633.797516,12182.04785,5050.854167,NaN,1.046723042,15.44658378,0.704166034,4.56191E-06,Not significant,UCYN-A,UCYN-A genome
BDA39724.1,3687.713623,144.948822,1068.730103,NaN,NaN,NaN,3041.057373,1358.400757,4047.226318,NaN,NaN,NaN,957.9750366,NaN,2815.561483,NaN,13.86177882,14.65120131,0.002106586,2.40781E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39725.1,957.9750366,NaN,NaN,NaN,NaN,NaN,1733.234497,2235.906494,1961.782715,NaN,NaN,NaN,17719.96883,NaN,1976.974569,NaN,11.64965256,14.09641693,0.125348497,3.96401E-05,Not significant,UCYN-A,UCYN-A genome
BDA39727.1,14875.97656,35963.47656,2320.453369,106044.9766,NaN,NaN,9666.586914,7425.050781,8419.915039,14039.65039,NaN,NaN,3854.924479,106044.9766,8503.850911,14039.65039,-0.926168823,1.093405872,0.730118127,0.691589392,Not significant,Not significant,UCYN-A genome
BDA39728.1,2574.471191,3800.632813,5189.669434,NaN,NaN,NaN,2120.917236,2273.736816,297.5779419,NaN,NaN,NaN,22763.65169,NaN,1564.077331,NaN,14.79974644,13.63320928,8.97121E-05,7.67189E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39730.1,30782.66016,18554.51953,18953.77539,NaN,NaN,NaN,44194.80078,57034,45022.91016,NaN,21495.01758,24514.17383,8020.149902,NaN,48750.57031,23004.59571,17.51561617,1.906735714,6.80991E-08,0.342155487,UCYN-A,Not significant,UCYN-A genome
BDA39731.1,9636.071289,4429.546387,9994.832031,NaN,NaN,NaN,4986.047363,3293.100342,3838.943359,NaN,NaN,NaN,253352.2058,NaN,4039.363688,NaN,15.9540238,15.1057504,2.31422E-06,5.8061E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39736.1,129098.7422,310242.2188,320715.6563,9302.503906,5166.663574,NaN,155750,187486.4688,160179.3125,54139.78516,45547.5625,35169.74219,906438.4585,7234.58374,167805.2604,44952.36328,5.563156404,2.147674561,0.013652533,0.11098524,UCYN-A,Not significant,UCYN-A genome
BDA39739.1,708344,969670.1875,1041301.188,31112.52344,14036.72559,NaN,288584.0938,371688.4063,424314.8125,5294.706055,NaN,31488.64648,2567.987024,22574.62452,361529.1042,18391.67627,5.826468535,5.101471729,0.011295565,0.02316548,UCYN-A,UCYN-A,UCYN-A genome
BDA39740.1,6414.19043,1287.954102,1.816540837,NaN,NaN,NaN,182.5999603,2955.599365,3239.621338,NaN,NaN,NaN,4934.843975,NaN,2125.940221,NaN,14.59156351,14.29873892,0.001502648,9.98185E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39743.1,1612.108276,12521.79395,670.6296997,28664.26953,5439.561523,16888.85742,2853.499512,3336.814453,3843.337158,10785.88086,NaN,NaN,75985.01171,16997.56282,3344.550374,10785.88086,-1.913192134,0.159697175,0.279351086,0.954804029,Not significant,Not significant,UCYN-A genome
BDA39744.1,17757.23828,84380.97656,125816.8203,NaN,NaN,NaN,26221.16992,35168.53906,8141.814941,NaN,NaN,NaN,2971.558065,NaN,23177.17464,NaN,18.99521932,17.55464908,1.83337E-10,4.62575E-08,UCYN-A,UCYN-A,UCYN-A genome
BDA39745.1,4584.588379,2974.109131,1355.976685,NaN,NaN,NaN,6311.664551,5258.641113,6240.312988,6427.700195,NaN,26317.64258,4087.590129,NaN,5936.872884,16372.67139,14.63580436,-0.682776253,0.000177919,0.758582588,UCYN-A,Not significant,UCYN-A genome
BDA39746.1,2098.704102,963.8953857,9200.170898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12697.1735,NaN,NaN,NaN,14.7755775,0,0.000134719,1,UCYN-A,Not significant,UCYN-A genome
BDA39750.1,13750.29199,14081.51465,10259.71387,NaN,NaN,56729.6875,22912.78711,27308.89258,23152.50586,4592.048828,NaN,NaN,728.1724854,56729.6875,24458.06185,4592.048828,-0.788163384,4.233454474,0.770058493,0.132757475,Not significant,Not significant,UCYN-A genome
BDA39754.1,728.1724854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6793.131754,NaN,NaN,NaN,11.25407428,0,0.137571755,1,Not significant,Not significant,UCYN-A genome
BDA39755.1,2847.197998,12010.00488,5522.192383,NaN,NaN,NaN,7598.648926,9749.40332,9865.647461,NaN,NaN,NaN,156142.6719,NaN,9071.233236,NaN,15.62020325,16.30774227,3.91801E-06,1.09314E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39756.1,151137.8125,160582.9063,156707.2969,NaN,NaN,NaN,247433.4688,215314.1875,178039.4688,41498.40234,37791.54297,26411.82813,40189.60467,NaN,213595.7084,35233.92448,20.21887824,2.823789706,1.56038E-11,0.041628234,UCYN-A,UCYN-A,UCYN-A genome
BDA39760.1,106831.4141,9472.503906,4264.895996,NaN,803.197876,NaN,4832.530762,7324.821289,10537.54004,74266.07813,NaN,NaN,35021.31348,803.197876,7564.96403,74266.07813,7.367656921,-1.40780962,0.01964794,0.603441449,UCYN-A,Not significant,UCYN-A genome
BDA39761.1,8799.27832,30995.21289,65269.44922,NaN,NaN,NaN,15258.87598,14967.96094,13658.40137,NaN,NaN,NaN,2804.808106,NaN,14628.41276,NaN,17.86160742,16.96897525,3.22484E-08,4.00691E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39767.1,782.8666992,2579.117188,5052.44043,NaN,NaN,NaN,3588.107178,4855.232422,3259.500488,1356.077515,NaN,NaN,3826.834147,NaN,3900.946696,1356.077515,14.23047285,3.331495465,0.000655783,0.252895345,UCYN-A,Not significant,UCYN-A genome
BDA39768.1,3088.162109,4912.424316,3479.916016,NaN,NaN,NaN,5852.164063,6146.18457,6769.392578,NaN,NaN,NaN,2816.523438,NaN,6255.913737,NaN,14.84963425,15.76661641,8.15808E-05,2.84692E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39772.1,2850.912109,2782.134766,NaN,NaN,NaN,NaN,1772.256714,4449.813965,1539.439209,NaN,NaN,NaN,12393.15495,NaN,2587.169963,NaN,14.00362047,14.44387354,0.009367483,3.88368E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39773.1,10270.2334,11651.87012,15257.36133,NaN,NaN,NaN,10325.4502,10237.59473,9260.450195,NaN,NaN,NaN,43353.74479,NaN,9941.165042,NaN,16.52169814,16.41162865,5.27539E-07,8.38895E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39776.1,35164.55859,48601.57813,46295.09766,NaN,NaN,NaN,21092.39453,18323.58398,23117.82813,11095.28809,NaN,NaN,5053.362874,NaN,20844.60221,11095.28809,18.33903505,2.746679361,2.05538E-09,0.315243342,UCYN-A,Not significant,UCYN-A genome
BDA39778.1,3230.267334,5287.342773,6642.478516,NaN,NaN,NaN,2628.577148,3190.505371,3269.844238,NaN,NaN,NaN,31582.30469,NaN,3029.642252,NaN,15.18807903,14.72327301,1.64846E-05,1.53118E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39781.1,19025.13086,24156.41992,51565.36328,NaN,NaN,NaN,23469.33789,17131.37305,23950.51367,NaN,NaN,NaN,5309.276368,NaN,21517.07487,NaN,17.79756076,17.54558994,2.74389E-08,3.54137E-08,UCYN-A,UCYN-A,UCYN-A genome
BDA39783.1,4806.301758,5812.250977,NaN,NaN,NaN,NaN,4716.942871,4047.810303,6834.589844,NaN,NaN,NaN,12824.21973,NaN,5199.781006,NaN,14.89457184,15.529142,0.002246475,4.27131E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39787.1,13533.24805,11681.26953,13258.1416,6591.174805,NaN,NaN,4469.503418,8091.303223,5905.838379,4839.296387,10450.95898,2594.764404,716.4719849,6591.174805,6155.54834,5961.673257,2.577524988,0.329452864,0.353467147,0.844052217,Not significant,Not significant,UCYN-A genome
BDA39788.1,716.4719849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,291522.9115,NaN,NaN,NaN,11.23071306,0,0.137957626,1,Not significant,Not significant,UCYN-A genome
BDA39789.1,132762.4844,332418,409388.25,55400.24609,32168.17969,21746.46094,131617.2188,132870.6094,120033.8125,28802.58398,23326.98633,44908.91016,33623.13933,36438.29557,128173.8802,32346.16016,2.783759229,2.207617994,0.047484052,0.106221381,UCYN-A,Not significant,UCYN-A genome
BDA39790.1,35375.64063,32029.80469,33463.97266,20367.5332,NaN,NaN,33952.42969,25701.69727,24225.21094,30526.39063,35619.57031,29692.60938,0.437942743,20367.5332,27959.7793,31946.19011,2.343114784,0.030708421,0.382383281,0.982155819,Not significant,Not significant,UCYN-A genome
BDA39797.1,0.437942743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33361.16602,NaN,NaN,NaN,1.262482794,0,0.539577769,1,Not significant,Not significant,UCYN-A genome
BDA39800.1,56192.23047,23161.57227,20729.69531,NaN,NaN,NaN,14026.06445,27027.70703,20641.95898,20137.20508,NaN,NaN,8161.540528,NaN,20565.24349,20137.20508,18.13341117,1.869301288,1.59191E-08,0.484594448,UCYN-A,Not significant,UCYN-A genome
BDA39801.1,5791.134766,NaN,10531.94629,NaN,NaN,NaN,8980.808594,3916.68457,2504.082275,NaN,NaN,NaN,14285.11784,NaN,5133.85848,NaN,15.31436259,15.36809964,0.000925804,4.59239E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39802.1,23767.54102,9985.604492,9102.208008,NaN,NaN,NaN,41133.67578,43871.59766,36817.00391,1270.7323,NaN,NaN,21.57798958,NaN,40607.42578,1270.7323,16.90553388,6.809623281,2.11592E-07,0.020407107,UCYN-A,UCYN-A,UCYN-A genome
BDA39803.1,21.57798958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.3328323,NaN,NaN,NaN,2745.199259,NaN,127.3328323,NaN,6.194691883,8.81816361,0.244658027,0.065481171,Not significant,Not significant,UCYN-A genome
BDA39805.1,4370.411133,1574.377563,2290.809082,NaN,NaN,NaN,5587.657715,3901.091553,3596.42334,NaN,3076.741211,NaN,63593.52474,NaN,4361.724203,3076.741211,14.50049289,2.3715535,0.000332922,0.409385061,UCYN-A,Not significant,UCYN-A genome
BDA39806.1,99047.16406,46190.75391,45542.65625,2030.783569,7123.98584,29895.45117,61523.71875,51801.08203,57574.44141,27036.99023,25195.66992,20539.87695,554.8252869,13016.74019,56966.41406,24257.51237,2.181722216,1.478426056,0.162209189,0.274080826,Not significant,Not significant,UCYN-A genome
BDA39807.1,583.8352661,525.8153076,NaN,NaN,NaN,NaN,2182.442383,3554.989258,2273.288086,NaN,NaN,NaN,83920.01169,NaN,2670.239909,NaN,11.66888127,14.51539996,0.037756668,2.62777E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39808.1,31439.55078,104339.8984,115980.5859,17484.55273,19031.70898,7840.135254,26532.03125,37201.44141,28879.45508,8199.919922,11297.23926,22839.64844,7581.129761,14785.46565,30870.97591,14112.26921,2.256242408,1.355474714,0.116506587,0.352083758,Not significant,Not significant,UCYN-A genome
BDA39812.1,2601.722412,12560.53711,NaN,NaN,NaN,NaN,18727.29883,21873.19922,9204.605469,NaN,NaN,NaN,535.2350464,NaN,16601.70117,NaN,15.2775805,17.09975956,0.000989519,1.91435E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39815.1,535.2350464,NaN,NaN,NaN,NaN,NaN,6490.066406,5635.638184,NaN,NaN,NaN,NaN,1641.095947,NaN,6062.852295,NaN,10.81016279,14.9645952,0.154044856,0.000683017,Not significant,UCYN-A,UCYN-A genome
BDA39819.1,1641.095947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34626.07422,NaN,NaN,NaN,12.42608142,0,0.099537458,1,Not significant,Not significant,UCYN-A genome
BDA39820.1,18001.92578,41024.67969,44851.61719,NaN,NaN,NaN,37399.375,50728.87891,45262.15625,NaN,NaN,NaN,42890.58333,NaN,44463.47005,NaN,17.94548799,18.59234272,1.28826E-08,7.91671E-10,UCYN-A,UCYN-A,UCYN-A genome
BDA39822.1,34479.07422,42459.18359,51733.49219,8255.069336,4164.21582,NaN,32132.76367,30853.05469,31442.48438,27785.42773,51048.41797,67298.60938,13742.71973,6209.642578,31476.10091,48710.81836,3.281148735,-0.392358161,0.126769638,0.772710308,Not significant,Not significant,UCYN-A genome
BDA39823.1,11506.00293,13219.21094,16502.94531,2231.090332,NaN,2604.842773,29013.00391,33640.33984,29225.34766,11127.92188,5269.546875,4383.030762,34428.2168,2417.966553,30626.23047,6926.833172,2.923527084,2.387410053,0.191266969,0.120396027,Not significant,Not significant,UCYN-A genome
BDA39824.1,21516.98828,11963.2168,69804.44531,NaN,NaN,NaN,88733.89063,78890.28906,65737.78125,NaN,NaN,NaN,92.17412951,NaN,77787.32031,NaN,17.89074438,19.36421389,3.02189E-08,2.21492E-11,UCYN-A,UCYN-A,UCYN-A genome
BDA39830.1,102.5559998,NaN,81.79225922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023.681925,NaN,NaN,NaN,8.995515231,0,0.070255951,1,Not significant,Not significant,UCYN-A genome
BDA39831.1,3900.411133,1012.479858,1158.154785,NaN,NaN,NaN,1727.2229,3185.351563,4808.107422,NaN,NaN,NaN,112919.7318,NaN,3240.227295,NaN,14.12946043,14.88305322,0.000902089,1.32337E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39834.1,134474.875,107509.2031,96775.11719,8529.75,6005.47168,4012.705078,303948.6563,376416.4063,303459.875,13127.69629,11983.7832,12647.27539,638.293396,6182.642253,327941.6459,12586.25163,4.133251247,4.941331448,0.006952612,0.001136568,UCYN-A,UCYN-A,UCYN-A genome
BDA39835.1,638.293396,NaN,NaN,NaN,NaN,NaN,11422.56348,6594.624023,1435.35498,NaN,NaN,NaN,5497.166016,NaN,6484.180828,NaN,11.06409098,15.66880024,0.146411561,5.53355E-06,Not significant,UCYN-A,UCYN-A genome
BDA39837.1,5497.166016,NaN,NaN,NaN,NaN,NaN,5330.366211,2495.351074,5388.84668,NaN,NaN,NaN,10406.98438,NaN,4404.854655,NaN,14.1699418,15.26537609,0.034458698,3.96569E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39840.1,5813.987305,12292.69434,13114.27148,4004.304688,4955.724609,3852.317139,7372.928223,7659.728516,6755.073242,7119.844727,5144.022949,8142.864746,6729.798502,4270.782145,7262.57666,6802.244141,1.054611786,0.320049096,0.505459378,0.844224317,Not significant,Not significant,UCYN-A genome
BDA39842.1,7216.642578,7268.738281,5704.014648,4.134714127,NaN,9498.554688,11982.02344,9687.407227,11443.67773,NaN,NaN,NaN,4558.903809,4751.344701,11037.7028,NaN,0.868889468,16.57343593,0.728565523,7.22004E-07,Not significant,UCYN-A,UCYN-A genome
BDA39844.1,4558.903809,NaN,NaN,NaN,NaN,NaN,6991.75293,NaN,7002.994141,NaN,NaN,NaN,1120.165009,NaN,6997.373536,NaN,13.89995538,15.36880755,0.043537336,0.000541183,UCYN-A,UCYN-A,UCYN-A genome
BDA39845.1,1698.081543,NaN,542.2484741,NaN,NaN,NaN,NaN,NaN,310.0275879,NaN,NaN,NaN,4603.968099,NaN,310.0275879,NaN,12.72970679,10.10039045,0.024006271,0.052913938,UCYN-A,Not significant,UCYN-A genome
BDA39846.1,4997.49707,4310.933594,4503.473633,NaN,NaN,NaN,21732.54297,22019.28711,21770.33008,14127.32129,NaN,NaN,182381.961,NaN,21840.72005,14127.32129,15.15619482,2.452506153,1.87778E-05,0.363013914,UCYN-A,Not significant,UCYN-A genome
BDA39847.1,113677.5391,225926.125,207542.2188,37229.07422,18721.64844,44729.75391,155180.3125,204922.2031,193590.5,48288.63281,64881.66797,61237.875,1253.74646,33560.15886,184564.3385,58136.05859,2.233149679,1.926738748,0.109139213,0.14845973,Not significant,Not significant,UCYN-A genome
BDA39849.1,1253.74646,NaN,NaN,NaN,NaN,NaN,1795.965332,2046.417969,1207.852905,NaN,NaN,NaN,57287.51758,NaN,1683.412069,NaN,12.03774078,13.82161683,0.109943742,4.30648E-05,Not significant,UCYN-A,UCYN-A genome
BDA39850.1,121373.0625,27918.6875,22570.80273,78735.44531,NaN,NaN,58501.87109,56870.90234,59861.41016,15522.3584,31478.39063,18297.30273,11540.18188,78735.44531,58411.39453,21766.01725,1.366944609,1.686861785,0.599363553,0.21669392,Not significant,Not significant,UCYN-A genome
BDA39852.1,6067.900879,17012.46289,NaN,NaN,NaN,NaN,9479.567383,7087.11084,9365.589844,NaN,NaN,NaN,15.82722092,NaN,8644.089356,NaN,15.92758804,16.2260129,0.000427192,1.3472E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39853.1,15.82722092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80871.5547,NaN,NaN,NaN,5.753909521,0,0.256186625,1,Not significant,Not significant,UCYN-A genome
BDA39854.1,41751.625,100290.4219,100572.6172,25537.07617,NaN,NaN,75586.44531,83008.95313,75849.32031,9988.438477,67.96842194,10105.2832,6101.421142,25537.07617,78148.23958,6720.563366,3.172037774,3.747463722,0.228660106,0.031717283,Not significant,UCYN-A,UCYN-A genome
BDA39855.1,3874.005615,7788.353027,6641.904785,NaN,NaN,NaN,10002.32324,9409.112305,10194.4375,NaN,NaN,NaN,1237.270508,NaN,9868.624348,NaN,15.47863634,16.41471578,5.77243E-06,8.47448E-07,UCYN-A,UCYN-A,UCYN-A genome
BDA39858.1,1237.270508,NaN,NaN,NaN,NaN,NaN,1609.10498,NaN,1328.533081,NaN,NaN,NaN,53102.16016,NaN,1468.819031,NaN,12.01866032,13.09289982,0.110789969,0.003659891,Not significant,UCYN-A,UCYN-A genome
BDA39859.1,46689.15625,54557.72656,58059.59766,13951.27246,11157.04395,6191.731445,12723.5293,10388.13867,13738.20313,NaN,NaN,NaN,77276.82162,10433.34929,12283.29037,NaN,2.219048218,16.73993253,0.114949269,5.58065E-07,Not significant,UCYN-A,UCYN-A genome
BDA39860.1,48974.02734,85373.45313,97482.98438,63275.77344,19819.36914,47221.58594,81066.80469,98161.40625,77317.99219,83735.19531,93564.875,88959.42188,11642.82682,43438.90951,85515.40104,88753.16406,0.641472397,0.183296804,0.634907024,0.888007135,Not significant,Not significant,UCYN-A genome
BDA39862.1,6229.376953,9643.65625,19055.44727,NaN,NaN,NaN,1669.929932,1885.292603,1947.63916,NaN,NaN,NaN,4874.883056,NaN,1834.287232,NaN,16.34557282,13.99532577,7.57206E-07,3.9731E-05,UCYN-A,UCYN-A,UCYN-A genome
BDA39863.1,1233.996826,1877.357422,11513.29492,NaN,NaN,NaN,10872.05664,4366.824707,8291.273438,NaN,NaN,NaN,12419.17725,NaN,7843.384928,NaN,14.96968319,16.06938423,6.30407E-05,1.72623E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39864.1,7762.345215,12815.25293,16679.93359,NaN,NaN,NaN,15268.62695,15251.125,17107.47656,6220.880371,NaN,NaN,50792.76237,NaN,15875.74284,6220.880371,16.48037216,3.18696292,4.51016E-07,0.255761588,UCYN-A,Not significant,UCYN-A genome
BDA39865.1,13658.14648,57005.28906,81714.85156,NaN,NaN,NaN,80209.60938,19238.94922,15942.1748,NaN,NaN,NaN,713.4651489,NaN,38463.5778,NaN,18.42499209,18.24721105,2.88706E-09,6.71251E-09,UCYN-A,UCYN-A,UCYN-A genome
BDA39870.1,713.4651489,NaN,NaN,NaN,NaN,NaN,1838.891602,195.4690094,222.7440186,NaN,NaN,NaN,3031.584391,NaN,752.36821,NaN,11.22464832,12.53753727,0.13898488,0.000237858,Not significant,UCYN-A,UCYN-A genome
BDA39878.1,3464.808594,5360.214844,269.7297363,NaN,NaN,NaN,366.8210754,523.0523682,799.8040771,NaN,NaN,NaN,351642.6406,NaN,563.2258402,NaN,14.6320653,12.34636145,0.000292864,0.000141215,UCYN-A,UCYN-A,UCYN-A genome
BDA39882.1,150752.3594,438247.1875,465928.375,241974.4375,214271.2031,183747.6406,289718,349657.5,285338.0938,236652.8438,247012.1406,227877.8438,1152870.698,213331.0937,308237.8646,237180.9427,0.475500866,0.618499306,0.712732069,0.62535822,Not significant,Not significant,UCYN-A genome
