target,similarity,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Active site,Binding site,Catalytic activity,Cofactor,EC number,Function [CC],Pathway,Rhea ID,Site,Subunit structure,Chain,Signal peptide,AlphaFoldDB
A0A0M0J9M0,0.995199978351593,A0A0M0J9M0,A0A0M0J9M0,unreviewed,A0A0M0J9M0_9EUKA,Methyltransferase type 11,Ctob_006295,Chrysochromulina tobinii,920.0,methyltransferase activity [GO:0008168]; methylation [GO:0032259],,,,,,,,,,,,,A0A0M0J9M0;
A0A812NCF0,0.9952999949455261,A0A812NCF0,A0A812NCF0,,A0A812NCF0_SYMMI,deleted,,,,,,,,,,,,,,,,,
A0A813GJ57,0.9957000017166138,A0A813GJ57,A0A813GJ57,unreviewed,A0A813GJ57_POLGL,Peptidase A2 domain-containing protein,PGLA1383_LOCUS43166,Polarella glacialis (Dinoflagellate),493.0,,,,,,,,,,,,,,A0A813GJ57;
A0A142BC91,0.9950000047683716,A0A142BC91,A0A142BC91,unreviewed,A0A142BC91_9GAMM,WD repeat-containing protein,EZMO1_2267,Endozoicomonas montiporae CL-33,557.0,membrane [GO:0016020],,,,,,,,,,,,,A0A142BC91;
A0A7S4BN06,0.996999979019165,A0A7S4BN06,A0A7S4BN06,unreviewed,A0A7S4BN06_CHRCT,Carbonic anhydrase (EC 4.2.1.1),PCAR00345_LOCUS23736,Chrysotila carterae (Marine alga) (Syracosphaera carterae),370.0,membrane [GO:0016020]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270],,,"CATALYTIC ACTIVITY: Reaction=H(+) + hydrogencarbonate = CO2 + H2O; Xref=Rhea:RHEA:10748, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:17544; EC=4.2.1.1; Evidence={ECO:0000256|RuleBase:RU367011};","COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947, ECO:0000256|RuleBase:RU367011};",4.2.1.1,FUNCTION: Reversible hydration of carbon dioxide. {ECO:0000256|RuleBase:RU367011}.,,RHEA:10748,,,"CHAIN 23..370; /note=""Carbonic anhydrase""; /evidence=""ECO:0000256|RuleBase:RU367011""; /id=""PRO_5031592665""","SIGNAL 1..22; /evidence=""ECO:0000256|RuleBase:RU367011""",A0A7S4BN06;
A0A7S4QMU1,0.9959999918937683,A0A7S4QMU1,A0A7S4QMU1,unreviewed,A0A7S4QMU1_9DINO,AMP-dependent synthetase/ligase domain-containing protein,AMON00008_LOCUS22212,Alexandrium monilatum,1570.0,,,,,,,,,,,,,,
A0A812IZ03,0.9957000017166138,A0A812IZ03,A0A812IZ03,unreviewed,A0A812IZ03_9DINO,Tps-2 protein,tps-2 SNEC2469_LOCUS769,Symbiodinium necroappetens,859.0,,,,,,,,,,,,,,A0A812IZ03;
A0A1Q9D6V5,0.9962000250816345,A0A1Q9D6V5,A0A1Q9D6V5,unreviewed,A0A1Q9D6V5_SYMMI,Uroporphyrinogen decarboxylase (EC 4.1.1.37),hemE AK812_SmicGene27436,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),866.0,uroporphyrinogen decarboxylase activity [GO:0004853]; protoporphyrinogen IX biosynthetic process [GO:0006782],,,"CATALYTIC ACTIVITY: Reaction=4 H(+) + uroporphyrinogen III = 4 CO2 + coproporphyrinogen III; Xref=Rhea:RHEA:19865, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57308, ChEBI:CHEBI:57309; EC=4.1.1.37; Evidence={ECO:0000256|RuleBase:RU000554};",,4.1.1.37,,"PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 4/4. {ECO:0000256|ARBA:ARBA00004804, ECO:0000256|RuleBase:RU000554}.",RHEA:19865,,SUBUNIT: Homodimer. {ECO:0000256|ARBA:ARBA00011738}.,,,A0A1Q9D6V5;
A0A813BRW5,0.995199978351593,A0A813BRW5,A0A813BRW5,unreviewed,A0A813BRW5_9DINO,Calmodulin,SNEC2469_LOCUS31915,Symbiodinium necroappetens,1051.0,calcium ion binding [GO:0005509],,,,,,,,,,,,,A0A813BRW5;
A4E9H7,0.9915068598116967,A4E9H7,A4E9H7,unreviewed,A4E9H7_COLAA,NAD-specific glutamate dehydrogenase,COLAER_01078,Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003),733.0,,,,,,,,,,,,,,A4E9H7;
A0A7S4VBW1,0.996999979019165,A0A7S4VBW1,A0A7S4VBW1,unreviewed,A0A7S4VBW1_9DINO,tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase,AMON00008_LOCUS14928,Alexandrium monilatum,652.0,"tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; methylation [GO:0032259]; RNA modification [GO:0009451]; tRNA processing [GO:0008033]","ACT_SITE 608; /evidence=""ECO:0000256|PROSITE-ProRule:PRU10015""; ACT_SITE 608; /note=""Nucleophile""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01024""","BINDING 472; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01024""; BINDING 500; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01024""; BINDING 521; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01024""; BINDING 583; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01024""",,,,,,,,,,,A0A7S4VBW1;
A0A0M0JU82,0.9980000257492065,A0A0M0JU82,A0A0M0JU82,unreviewed,A0A0M0JU82_9EUKA,Flagellar associated protein,Ctob_005594,Chrysochromulina tobinii,1082.0,motile cilium [GO:0031514],,,,,,,,,,,,,A0A0M0JU82;
A0A813HNC1,0.9968000054359436,A0A813HNC1,A0A813HNC1,unreviewed,A0A813HNC1_POLGL,NADP-dependent oxidoreductase domain-containing protein,PGLA1383_LOCUS54676,Polarella glacialis (Dinoflagellate),600.0,membrane [GO:0016020]; oxidoreductase activity [GO:0016491],,,,,,,,,,,"CHAIN 25..600; /note=""NADP-dependent oxidoreductase domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032831831""","SIGNAL 1..24; /evidence=""ECO:0000256|SAM:SignalP""",A0A813HNC1;
A0A0L0DS28,0.9957000017166138,A0A0L0DS28,A0A0L0DS28,unreviewed,A0A0L0DS28_THETB,C2 domain-containing protein,AMSG_10667,Thecamonas trahens ATCC 50062,1119.0,,,,,,,,,,,,,,A0A0L0DS28;
A0A812WBH7,0.9962999820709229,A0A812WBH7,A0A812WBH7,unreviewed,A0A812WBH7_9DINO,Peptidylprolyl isomerase,SLIN2456_LOCUS23852,Symbiodinium sp. CCMP2456,1276.0,,,,,,,,,,,,,,A0A812WBH7;
R1DAH2,0.9958999752998352,R1DAH2,R1DAH2,unreviewed,R1DAH2_EMIHU,NAD-dependent epimerase/dehydratase domain-containing protein,EMIHUDRAFT_112423,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),435.0,mitochondrion [GO:0005739],,,,,,,,,,,,,
A0A1Q9D021,0.9962999820709229,A0A1Q9D021,A0A1Q9D021,unreviewed,A0A1Q9D021_SYMMI,Cystathionine beta-synthase,CBS AK812_SmicGene30123,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),1624.0,cysteine biosynthetic process from serine [GO:0006535],,,,COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000256|ARBA:ARBA00001933};,,,PATHWAY: Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-homocysteine and L-serine: step 1/2. {ECO:0000256|ARBA:ARBA00005003}.,,,,,,
A0A813HMB0,0.9958999752998352,A0A813HMB0,A0A813HMB0,unreviewed,A0A813HMB0_POLGL,NADP-dependent oxidoreductase domain-containing protein,PGLA1383_LOCUS54238,Polarella glacialis (Dinoflagellate),561.0,oxidoreductase activity [GO:0016491]; organic substance metabolic process [GO:0071704]; small molecule metabolic process [GO:0044281],,,,,,,,,,,"CHAIN 20..561; /note=""NADP-dependent oxidoreductase domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032368206""","SIGNAL 1..19; /evidence=""ECO:0000256|SAM:SignalP""",A0A813HMB0;
A0A812K278,0.9962999820709229,A0A812K278,A0A812K278,,A0A812K278_9DINO,deleted,,,,,,,,,,,,,,,,,
A0A813K7B4,0.9962000250816345,A0A813K7B4,A0A813K7B4,unreviewed,A0A813K7B4_POLGL,N-acetyltransferase domain-containing protein,PGLA2088_LOCUS28209,Polarella glacialis (Dinoflagellate),1582.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 23..1582; /note=""N-acetyltransferase domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032539390""","SIGNAL 1..22; /evidence=""ECO:0000256|SAM:SignalP""",
A0A7S0FS23,0.9958999752998352,A0A7S0FS23,A0A7S0FS23,unreviewed,A0A7S0FS23_9DINO,Apple domain-containing protein,PBAH0796_LOCUS23008,Pyrodinium bahamense,1079.0,extracellular region [GO:0005576]; membrane [GO:0016020]; proteolysis [GO:0006508],,,,,,,,,,,"CHAIN 48..1079; /note=""Apple domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5031572117""","SIGNAL 1..47; /evidence=""ECO:0000256|SAM:SignalP""",A0A7S0FS23;
A0A813BKL7,0.9976000189781189,A0A813BKL7,A0A813BKL7,,A0A813BKL7_SYMMI,deleted,,,,,,,,,,,,,,,,,
A0A7S1QM30,0.9955999851226807,A0A7S1QM30,A0A7S1QM30,unreviewed,A0A7S1QM30_ALECA,Phytanoyl-CoA dioxygenase,ACAT0790_LOCUS27843,Alexandrium catenella (Red tide dinoflagellate) (Gonyaulax catenella),402.0,,,,,,,,,,,,,,A0A7S1QM30;
A0A8J5XRB8,0.9976999759674072,A0A8J5XRB8,A0A8J5XRB8,unreviewed,A0A8J5XRB8_DIALT,DUF305 domain-containing protein,KFE25_006663,Diacronema lutheri (Unicellular marine alga) (Monochrysis lutheri),431.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 21..431; /note=""DUF305 domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5035194990""","SIGNAL 1..20; /evidence=""ECO:0000256|SAM:SignalP""",
D8U4T5,0.9961000084877014,D8U4T5,D8U4T5,unreviewed,D8U4T5_VOLCA,Flavin-containing monooxygenase (EC 1.-.-.-),VOLCADRAFT_106057,Volvox carteri f. nagariensis,980.0,"flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",,,,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|RuleBase:RU361177};,1.-.-.-,,,,,,,,D8U4T5;
A0A813BRW5,0.9954000115394592,A0A813BRW5,A0A813BRW5,unreviewed,A0A813BRW5_9DINO,Calmodulin,SNEC2469_LOCUS31915,Symbiodinium necroappetens,1051.0,calcium ion binding [GO:0005509],,,,,,,,,,,,,A0A813BRW5;
A0A812ZFM8,0.9959999918937683,A0A812ZFM8,A0A812ZFM8,unreviewed,A0A812ZFM8_9DINO,EF-hand domain-containing protein,SLIN2456_LOCUS31715,Symbiodinium sp. CCMP2456,917.0,calcium ion binding [GO:0005509],,,,,,,,,,,"CHAIN 26..917; /note=""EF-hand domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032919248""","SIGNAL 1..25; /evidence=""ECO:0000256|SAM:SignalP""",A0A812ZFM8;
A0A103XKD2,0.9990000128746033,A0A103XKD2,A0A103XKD2,unreviewed,A0A103XKD2_CYNCS,Chaperone DnaK,Ccrd_005562,Cynara cardunculus var. scolymus (Globe artichoke) (Cynara scolymus),674.0,ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082],,,,,,,,,,,,,A0A103XKD2;
A0A812SKX2,0.995199978351593,A0A812SKX2,A0A812SKX2,,A0A812SKX2_SYMMI,deleted,,,,,,,,,,,,,,,,,
A0A7S4F779,0.996999979019165,A0A7S4F779,A0A7S4F779,unreviewed,A0A7S4F779_CHRCT,Carbohydrate kinase PfkB domain-containing protein,PCAR00345_LOCUS30614,Chrysotila carterae (Marine alga) (Syracosphaera carterae),308.0,"ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; carbohydrate metabolic process [GO:0005975]; phosphorylation [GO:0016310]",,,,,,,,,,,,,A0A7S4F779;
A0A1Q9DHD5,0.9957000017166138,A0A1Q9DHD5,A0A1Q9DHD5,unreviewed,A0A1Q9DHD5_SYMMI,"Tbc2 translation factor, chloroplastic",TBC2 AK812_SmicGene23384,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),1145.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 21..1145; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5013181057""","SIGNAL 1..20; /evidence=""ECO:0000256|SAM:SignalP""",A0A1Q9DHD5;
R1EGK2,0.995199978351593,R1EGK2,R1EGK2,unreviewed,R1EGK2_EMIHU,AB hydrolase-1 domain-containing protein,EMIHUDRAFT_102000,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),472.0,,,,,,,,,,,,"CHAIN 24..472; /note=""AB hydrolase-1 domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5014592216""","SIGNAL 1..23; /evidence=""ECO:0000256|SAM:SignalP""",
A0A812NHC3,0.9958999752998352,A0A812NHC3,A0A812NHC3,unreviewed,A0A812NHC3_9DINO,NCL1 protein,NCL1 SNAT2548_LOCUS15410,Symbiodinium natans,3102.0,"iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; RNA methylation [GO:0001510]","ACT_SITE 1837; /note=""Nucleophile""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01023""","BINDING 1695..1701; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01023""; BINDING 1727; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01023""; BINDING 1755; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01023""; BINDING 1784; /ligand=""S-adenosyl-L-methionine""; /ligand_id=""ChEBI:CHEBI:59789""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU01023""; BINDING 2404; /ligand=""Fe cation""; /ligand_id=""ChEBI:CHEBI:24875""; /ligand_note=""catalytic""; /evidence=""ECO:0000256|PIRSR:PIRSR604294-1""; BINDING 2457; /ligand=""Fe cation""; /ligand_id=""ChEBI:CHEBI:24875""; /ligand_note=""catalytic""; /evidence=""ECO:0000256|PIRSR:PIRSR604294-1""; BINDING 2525; /ligand=""Fe cation""; /ligand_id=""ChEBI:CHEBI:24875""; /ligand_note=""catalytic""; /evidence=""ECO:0000256|PIRSR:PIRSR604294-1""",,COFACTOR: Name=Fe(2+); Xref=ChEBI:CHEBI:29033; Evidence={ECO:0000256|PIRSR:PIRSR604294-1}; Note=Binds 1 Fe(2+) ion per subunit. {ECO:0000256|PIRSR:PIRSR604294-1}; COFACTOR: Name=L-ascorbate; Xref=ChEBI:CHEBI:38290; Evidence={ECO:0000256|ARBA:ARBA00001961};,,,,,,,,,
A0A7S1IGG4,0.9957000017166138,A0A7S1IGG4,A0A7S1IGG4,unreviewed,A0A7S1IGG4_9EUGL,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),EGYM00392_LOCUS22840,Eutreptiella gymnastica,262.0,membrane [GO:0016020]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755],,,"CATALYTIC ACTIVITY: Reaction=[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0); Xref=Rhea:RHEA:16237, Rhea:RHEA-COMP:10747, Rhea:RHEA-COMP:10748, ChEBI:CHEBI:83833, ChEBI:CHEBI:83834; EC=5.2.1.8; Evidence={ECO:0000256|RuleBase:RU363019};",,5.2.1.8,FUNCTION: PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. {ECO:0000256|RuleBase:RU363019}.,,RHEA:16237,,,,,A0A7S1IGG4;
A0A813LX67,0.9968000054359436,A0A813LX67,A0A813LX67,unreviewed,A0A813LX67_POLGL,Cryptochrome DASH,PGLA2088_LOCUS50083,Polarella glacialis (Dinoflagellate),857.0,metal ion binding [GO:0046872],,"BINDING 357; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""; BINDING 376..380; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""; BINDING 542..544; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""",,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|PIRSR:PIRSR602081-1}; Note=Binds 1 FAD per subunit. {ECO:0000256|PIRSR:PIRSR602081-1};,,,,,"SITE 476; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 529; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 552; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""",,,,A0A813LX67;
A0A7S1SBB2,0.9961000084877014,A0A7S1SBB2,A0A7S1SBB2,unreviewed,A0A7S1SBB2_ALECA,CBM1 domain-containing protein,ACAT0790_LOCUS66616,Alexandrium catenella (Red tide dinoflagellate) (Gonyaulax catenella),553.0,extracellular region [GO:0005576]; cellulose binding [GO:0030248]; carbohydrate metabolic process [GO:0005975],,,,,,,,,,,"CHAIN 20..553; /note=""CBM1 domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5030957156""","SIGNAL 1..19; /evidence=""ECO:0000256|SAM:SignalP""",A0A7S1SBB2;
W4GCJ8,0.9961000084877014,W4GCJ8,W4GCJ8,unreviewed,W4GCJ8_APHAT,Ribokinase,H257_08818,Aphanomyces astaci (Crayfish plague agent),433.0,"membrane [GO:0016020]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; phosphorylation [GO:0016310]",,,,,,,,,,,,,W4GCJ8;
A0A813HGF1,0.9977999925613403,A0A813HGF1,A0A813HGF1,unreviewed,A0A813HGF1_POLGL,Photolyase/cryptochrome alpha/beta domain-containing protein,PGLA2088_LOCUS1689,Polarella glacialis (Dinoflagellate),949.0,nucleic acid binding [GO:0003676]; cellular response to stimulus [GO:0051716]; nucleobase-containing compound metabolic process [GO:0006139]; response to stress [GO:0006950],,"BINDING 458; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""; BINDING 480..484; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""; BINDING 513; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""; BINDING 613..615; /ligand=""FAD""; /ligand_id=""ChEBI:CHEBI:57692""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-1""",,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000256|PIRSR:PIRSR602081-1}; Note=Binds 1 FAD per subunit. {ECO:0000256|PIRSR:PIRSR602081-1};,,,,,"SITE 547; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 600; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""; SITE 623; /note=""Electron transfer via tryptophanyl radical""; /evidence=""ECO:0000256|PIRSR:PIRSR602081-2""",,,,A0A813HGF1;
A0A7S4GKG9,0.996999979019165,A0A7S4GKG9,A0A7S4GKG9,unreviewed,A0A7S4GKG9_9EUGL,SOUL heme-binding protein,EGYM00163_LOCUS51030,Eutreptiella gymnastica,516.0,membrane [GO:0016020],,,,,,,,,,,,,A0A7S4GKG9;
D8TIM4,0.998199999332428,D8TIM4,D8TIM4,unreviewed,D8TIM4_VOLCA,ABC transporter domain-containing protein,VOLCADRAFT_86383,Volvox carteri f. nagariensis,749.0,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677],,,,,,FUNCTION: Protein transport. Probably involved in vesicular traffic. {ECO:0000256|ARBA:ARBA00025673}.,,,,,,,D8TIM4;
A0A812LI70,0.9962000250816345,A0A812LI70,A0A812LI70,unreviewed,A0A812LI70_9DINO,DHAR1 protein,DHAR1 SLIN2456_LOCUS6311,Symbiodinium sp. CCMP2456,779.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 29..779; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032496010""","SIGNAL 1..28; /evidence=""ECO:0000256|SAM:SignalP""",A0A812LI70;
A0A813K7B4,0.9972000122070312,A0A813K7B4,A0A813K7B4,unreviewed,A0A813K7B4_POLGL,N-acetyltransferase domain-containing protein,PGLA2088_LOCUS28209,Polarella glacialis (Dinoflagellate),1582.0,membrane [GO:0016020],,,,,,,,,,,"CHAIN 23..1582; /note=""N-acetyltransferase domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5032539390""","SIGNAL 1..22; /evidence=""ECO:0000256|SAM:SignalP""",
A0A812KKY7,0.9962999820709229,A0A812KKY7,A0A812KKY7,unreviewed,A0A812KKY7_9DINO,Nudix hydrolase domain-containing protein,SNAT2548_LOCUS9578,Symbiodinium natans,537.0,,,,,,,,,,,,,,A0A812KKY7;
A0A7S3S1Q6,0.995199978351593,A0A7S3S1Q6,A0A7S3S1Q6,unreviewed,A0A7S3S1Q6_EMIHU,ABM domain-containing protein,EHUX00137_LOCUS12380,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),493.0,membrane [GO:0016020],,,,,,,,,,,,,A0A7S3S1Q6;
A0A1Q9C7Y4,0.9951000213623047,A0A1Q9C7Y4,A0A1Q9C7Y4,unreviewed,A0A1Q9C7Y4_SYMMI,Superoxide dismutase [Fe] (EC 1.15.1.1),sodA AK812_SmicGene40733,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),1061.0,metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784],,,,COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000256|ARBA:ARBA00001962};,1.15.1.1,,,,,,,,A0A1Q9C7Y4;
A0A7J6NUZ6,0.9965999722480774,A0A7J6NUZ6,A0A7J6NUZ6,unreviewed,A0A7J6NUZ6_PEROL,glucose-6-phosphate 1-epimerase (EC 5.1.3.15),FOZ60_003645,Perkinsus olseni (Perkinsus atlanticus),732.0,carbohydrate binding [GO:0030246]; glucose-6-phosphate 1-epimerase activity [GO:0047938]; carbohydrate metabolic process [GO:0005975],,,"CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 6-phosphate = beta-D-glucose 6-phosphate; Xref=Rhea:RHEA:16249, ChEBI:CHEBI:58225, ChEBI:CHEBI:58247; EC=5.1.3.15; Evidence={ECO:0000256|ARBA:ARBA00001096};",,5.1.3.15,,,RHEA:16249,,,,,A0A7J6NUZ6;
A0A2P6TJI6,0.9952999949455261,A0A2P6TJI6,A0A2P6TJI6,unreviewed,A0A2P6TJI6_CHLSO,E3 ubiquitin-ligase HERC2 isoform A (E3 ubiquitin-ligase HERC2 isoform B),C2E21_7034,Chlorella sorokiniana (Freshwater green alga),659.0,membrane [GO:0016020]; ligase activity [GO:0016874],,,,,,,,,,,,,A0A2P6TJI6;
A0A2P6VHI7,0.996399998664856,A0A2P6VHI7,A0A2P6VHI7,unreviewed,A0A2P6VHI7_9CHLO,ERD4-related membrane,C2E20_3169,Micractinium conductrix,1960.0,membrane [GO:0016020]; calcium-activated cation channel activity [GO:0005227],,,,,,,,,,,,,
A0A813FYL5,0.9965000152587891,A0A813FYL5,A0A813FYL5,unreviewed,A0A813FYL5_POLGL,tRNA/rRNA methyltransferase SpoU type domain-containing protein,PGLA1383_LOCUS35320,Polarella glacialis (Dinoflagellate),391.0,RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; RNA processing [GO:0006396],,,,,,,,,,,,,A0A813FYL5;
A0A813DLS6,0.9958999752998352,A0A813DLS6,A0A813DLS6,unreviewed,A0A813DLS6_POLGL,Cytochrome P450,PGLA1383_LOCUS6293,Polarella glacialis (Dinoflagellate),1114.0,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,,,,,,,,,,A0A813DLS6;
A0A2P6U2F6,0.9962000250816345,A0A2P6U2F6,A0A2P6U2F6,unreviewed,A0A2P6U2F6_CHLSO,Granule-bound starch synthase chloroplastic amyloplastic,C2E21_0889,Chlorella sorokiniana (Freshwater green alga),1552.0,ATP binding [GO:0005524]; glycogen (starch) synthase activity [GO:0004373]; protein kinase activity [GO:0004672]; phosphorylation [GO:0016310]; starch biosynthetic process [GO:0019252],,"BINDING 213; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000256|PROSITE-ProRule:PRU10141""",,,,,PATHWAY: Glycan biosynthesis; starch biosynthesis. {ECO:0000256|ARBA:ARBA00004727}.,,,,,,
A0A7S0FS23,0.9955000281333923,A0A7S0FS23,A0A7S0FS23,unreviewed,A0A7S0FS23_9DINO,Apple domain-containing protein,PBAH0796_LOCUS23008,Pyrodinium bahamense,1079.0,extracellular region [GO:0005576]; membrane [GO:0016020]; proteolysis [GO:0006508],,,,,,,,,,,"CHAIN 48..1079; /note=""Apple domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5031572117""","SIGNAL 1..47; /evidence=""ECO:0000256|SAM:SignalP""",A0A7S0FS23;
